y,V0_y,Envelope,Curvature,Frequency,Entropy,SymbolicScore
0.6931471805599453,0.28410126692261245,0.6667555766153074,1.0,0.47587976305595664,0.34555680709485614,0.14031421763615293
0.6993680094872948,0.28006888875982094,0.634977581017858,0.8376859716787428,0.15879898086225866,0.23750329748977528,0.03903302666863411
0.7055888384146444,0.27604565097007233,0.6329877252215435,0.3417554370779238,0.051772718890422766,0.2364906386906378,0.00965710265260015
0.7118096673419939,0.2720292962925828,0.621327803490591,0.07292150022551105,0.055908371289427966,0.17527836866043722,0.0020287897414177814
0.7180304962693435,0.26801949740673203,0.61958039130273,0.07131748649300228,0.10232328068255005,0.1754603854001059,0.002862958085958843
0.724251325196693,0.264015931314451,0.6120224176497762,0.03262038513724332,0.10495289048663153,0.2367559660020605,0.002211105300832526
0.7304721541240425,0.26001827471142214,0.6104218878997546,0.0319216726164381,0.12616457624340222,0.20683190508873228,0.0020603930137469305
0.7366929830513921,0.2560262079466904,0.6046604329946315,0.018884497153988156,0.12811524007092254,0.13187828356266806,0.0007916982603508464
0.7429138119787416,0.2520394114393693,0.6031651589899484,0.018488930391522274,0.14058045881582673,0.13057757680599846,0.0008120606715944768
0.7491346409060912,0.24805756863842865,0.598423516422081,0.012494160929925896,0.142145068462748,0.17150169938850013,0.0008247684871724478
0.7553554698334407,0.24408036343756817,0.5970099317666944,0.01223710627943464,0.15050513273790178,0.1544590139928288,0.0007393304878009112
0.7615762987607902,0.2401074821561875,0.5929309554744876,0.008969201546518743,0.15182365822535815,0.17008139499115615,0.0006480333298433462
0.7677971276881398,0.23613861192763533,0.5915837458086666,0.008786745167541918,0.15791319803514414,0.15792135032750265,0.0005962827430587148
0.7740179566154893,0.23217344172589324,0.5879727461860387,0.006799847545240372,0.15906432511289315,0.08251822974814249,0.0002230576968361902
0.7802387855428389,0.2282116617010144,0.5866810414375342,0.006661868430121341,0.16376092259434477,0.10136900989300279,0.00028545028760122915
0.7864596144701884,0.2242529632777178,0.5834196465161978,0.005357398655922258,0.16479372981586646,0.07540312057945864,0.00016818350340687535
0.792680443397538,0.22029703941062717,0.5821752264026683,0.005247783492881728,0.16857295876177486,0.05655234043459567,0.0001185840845070663
0.7989012723248875,0.2163435837821651,0.579185720726623,0.004340593821981818,0.1695203856667062,0.05655234043460544,0.00010190696902751997
0.805122101252237,0.21239229194895531,0.5779820547844664,0.004249896813186015,0.17266388722824183,0.05655234043460533,0.00010118425288430121
0.8113429301795866,0.20844285966772133,0.5752103913682264,0.0035897239699348178,0.17354930178406655,0.018850780144871848,2.3658858908255696e-05
0.8175637591069361,0.20449498490312287,0.5740420762070878,0.0035119970311651926,0.17623538901154348,0.056552340434612436,8.758023789668813e-05
0.8237845880342857,0.20054836531145018,0.5714489244087577,0.003013347924954255,0.1770761218180741,0.056552340434616655,7.749301808965507e-05
0.8300054169616352,0.19660270107908986,0.5703113293468002,0.0029446116128262994,0.17942376640929752,0.01885078014487529,2.0493342161696374e-05
0.8362262458889848,0.1926576915950227,0.567866981507805,0.0025557976404257843,0.18023316088366287,0.07540312057949317,9.659110747040295e-05
0.8424470748163343,0.18871303908809986,0.5667560114912784,0.0024932370231113793,0.18232519864985902,4.3298697960381105e-15,1.2294938379868307e-20
0.8486679037436838,0.18476844452032287,0.5644373035216851,0.0021814042877180187,0.18311387381895705,0.05655234043462476,6.060825843887325e-05
0.8548887326710334,0.18082361199020278,0.5633492314217602,0.002122914171318732,0.18501008057977253,0.018850780144876844,1.5948689462350402e-05
